Company,Date,Filing,Word_count,cybersecurity,cyber security,cyber-security,information security,data security,data leak,data breach,Path,8-K,10-K
BK,2000-07-12,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000176/full-submission.txt,0,
BK,2000-07-12,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001020242-02-000018/filing-details.txt,0,
BK,2000-07-12,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000178/full-submission.txt,0,
BK,2000-07-12,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-01-500035/filing-details.txt,0,
BK,2000-07-12,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000177/full-submission.txt,0,
T,2000-07-13,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000950133-00-002902/full-submission.txt,0,
WFC,2000-07-19,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/WFC/8-K/0000912057-00-032328/full-submission.txt,0,
MS,2000-07-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/MS/8-K/0000790372-00-000009/full-submission.txt,0,
BAC,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BAC/8-K/0000070858-00-000273/full-submission.txt,0,
CAT,2000-09-20,10-K,0,0,0,0,0,0,0,0,sec-edgar-filings/CAT/10-K/0000719866-00-000003/full-submission.txt,,0
T,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000732717-00-000049/full-submission.txt,0,
CAT,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/CAT/8-K/0001079974-06-000104/filing-details.txt,0,
T,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0001020242-01-500119/filing-details.txt,0,
BK,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0000936988-00-000026/full-submission.txt,0,
GS,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/GS/8-K/0000950123-00-006655/full-submission.txt,0,
GS,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/GS/8-K/0001051170-04-000717/filing-details.txt,0,
BK,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001056404-01-500219/filing-details.txt,0,
BK,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001056404-00-000396/full-submission.txt,0,
JPM,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/JPM/8-K/0000019617-00-000130/full-submission.txt,0,
T,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000092230-00-000058/full-submission.txt,0,
T,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000732717-00-000051/full-submission.txt,0,
BK,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0000929624-00-000992/full-submission.txt,0,
CAT,2000-09-20,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/CAT/8-K/0000018230-00-000012/full-submission.txt,0,
VZ,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/VZ/8-K/0000950134-00-005844/full-submission.txt,0,
VZ,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/VZ/8-K/0001036050-00-001423/full-submission.txt,0,
GS,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/GS/8-K/0001013255-00-000226/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000195/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-01-500022/filing-details.txt,0,
AXP,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/AXP/8-K/0000004962-00-000051/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0000936988-03-000031/filing-details.txt,0,
DOW,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/DOW/8-K/0000029915-00-000042/full-submission.txt,0,
BAC,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BAC/8-K/0000950149-00-001665/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000194/full-submission.txt,0,
BAC,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BAC/8-K/0000070858-00-000292/full-submission.txt,0,
AXP,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/AXP/8-K/0000004962-05-000072/filing-details.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001019965-00-000193/full-submission.txt,0,
AXP,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/AXP/8-K/0000004962-00-000054/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0000936988-00-000031/full-submission.txt,0,
MS,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/MS/8-K/0000950103-00-000897/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001110667-00-000005/full-submission.txt,0,
BK,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001133884-02-000811/filing-details.txt,0,
T,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000732717-00-000052/full-submission.txt,0,
GS,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/GS/8-K/0000891836-00-000541/full-submission.txt,0,
T,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0001035704-00-000563/full-submission.txt,0,
JPM,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/JPM/8-K/0000019617-00-000132/full-submission.txt,0,
T,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000092230-00-000064/full-submission.txt,0,
T,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000891092-00-000673/full-submission.txt,0,
GS,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/GS/8-K/0000914121-04-000472/filing-details.txt,0,
CAT,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/CAT/8-K/0000018230-00-000014/full-submission.txt,0,
VZ,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/VZ/8-K/0000950134-02-010485/filing-details.txt,0,
T,2000-09-21,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/T/8-K/0000916641-00-001037/full-submission.txt,0,
BK,2000-09-22,8-K,0,0,0,0,0,0,0,0,sec-edgar-filings/BK/8-K/0001021408-00-002653/full-submission.txt,0,
